,CV,log CV,RCVQ,log RCVQ,RCVM,log RCVM,Mistake
10.1038:s41586-023-06010-x_zero_fig3,0.012899450659667194,-1.8894287843174316,0.006840966776274002,-2.16488251875772,0.013523223123338307,-1.8689197863637015,zero
10.1038:s41586-023-06010-x_zero_fig4,0.07437654750934501,-1.128563985057983,0.039444120828826,-1.404017719498273,0.07797313805442309,-1.1080549871042509,zero
10.1038:s41586-023-06010-x_zero_fig5,0.018436052621769134,-1.734332060945036,0.00977719337037385,-2.0097857953853215,0.01932755585455488,-1.7138230629913016,zero
10.1038:s41586-023-06010-x_zero_fig6,0.0019424953734385037,-2.7116400069118725,0.0010301637382365391,-2.987093741352102,0.002036427677745707,-2.69113100895814,zero
10.1038:s41586-023-06026-3_log_fig1,0.9466812551670731,-0.02379622207782712,0.6738527958384313,-0.17143496538956404,1.221250827419925,0.0868048709694382,log
10.1038:s41586-023-06026-3_log_fig2,0.701022225996566,-0.1542682124546781,0.6568070785025774,-0.18256217541047295,0.8064381453811111,-0.0934289378222627,log
10.1038:s41586-023-06026-3_zero_fig1,0.4112056661786006,-0.38594090964229066,0.2180747362629152,-0.6613946440825812,0.43109013864453066,-0.36543191168855826,zero
10.1038:s41586-023-06026-3_zero_fig2,0.16487664129874222,-0.7828408681495116,0.08743904334120203,-1.0582946025898017,0.17284950087688808,-0.762331870195779,zero
10.1038:s41586-023-06026-3_zero_fig3,0.5984772829959323,-0.22295232989709263,0.31739050889439313,-0.49840606433738316,0.6274175579824364,-0.20244333194336017,zero
10.1038:s41586-023-06026-3_zero_fig4,0.6823654662395028,-0.16598296044711086,0.36187893631910445,-0.4414366948874014,0.7153622813156056,-0.14547396249337843,zero
10.1038:s41586-023-06026-3_zero_fig5,0.16389540898374916,-0.7854332116579913,0.16936572161027208,-0.7711744831547064,0.1568610771445532,-0.8044848070721382,zero
10.1038:s41586-023-06030-7_zero_fig1,0.32529628027090146,-0.48772090280193964,0.3142541871560304,-0.5027189270178387,0.43982591687041545,-0.3567191832922254,zero
10.1038:s41586-023-06030-7_zero_fig2,0.17002258898819253,-0.7694933749675811,0.07646301875867582,-1.1165485600397864,0.07721445562847767,-1.1123013860375948,zero
10.1038:s41586-023-06030-7_zero_fig3,0.26234572769370623,-0.5811260039038212,0.12844171540645696,-0.8912939028362764,0.15679393979118375,-0.8046707271497323,zero
10.1038:s41586-023-06030-7_zero_fig4,0.5204246343270589,-0.2836421542720678,0.5428954848102068,-0.26528377029894584,0.4399481387177603,-0.3565985153232754,zero
10.1038:s41586-023-06030-7_zero_fig5,0.6079933099506625,-0.21610119945669917,0.7669423872195263,-0.11523725906589502,0.7982240908007058,-0.09787516913038717,zero
10.1038:s41586-023-06036-1_zero_fig1,0.42656093528654837,-0.37001892002190423,0.22621809744779586,-0.6454726544621947,0.44718793503480275,-0.34950992206817183,zero
10.1038:s41586-023-06047-y_zero_fig1,0.08588397505174887,-1.0660878628956842,0.10305658805552904,-0.9869242400350952,0.09893220089629247,-1.0046623292781653,zero
10.1038:s41586-023-06047-y_zero_fig10,0.17118961965865073,-0.7665225729628607,0.1314492525674409,-0.8812418789890287,0.10788477719050958,-0.967039831022056,zero
10.1038:s41586-023-06047-y_zero_fig11,0.1608582857064452,-0.7935565639574751,0.07665344283880152,-1.1154683343214784,0.06545763251756537,-1.1840397063783188,zero
10.1038:s41586-023-06047-y_zero_fig12,0.2297063590635836,-0.6388269818707235,0.10846079822217597,-0.9647272036788165,0.19710243149071752,-0.705308018153393,zero
10.1038:s41586-023-06047-y_zero_fig13,0.1588653426192176,-0.7989708362784477,0.09887896055273705,-1.0048961076737797,0.05916485589308546,-1.227936188951227,zero
10.1038:s41586-023-06047-y_zero_fig14,0.13946307883315232,-0.855540751396343,0.10347655992831908,-0.9851580178080467,0.08610199349753754,-1.0649867933203552,zero
10.1038:s41586-023-06047-y_zero_fig15,0.20382616470653475,-0.6907400673447837,0.1630916539764419,-0.787568262900366,0.15190981716280158,-0.8184141589755006,zero
10.1038:s41586-023-06047-y_zero_fig16,0.2801606668003723,-0.5525928376106519,0.12155918843565834,-0.915212208058135,0.05257451138572859,-1.2792247548464522,zero
10.1038:s41586-023-06047-y_zero_fig17,0.17154952372067211,-0.7656104833540689,0.10821131689242934,-0.9657273177236851,0.09536604200939859,-1.0206062415780812,zero
10.1038:s41586-023-06047-y_zero_fig18,0.277121929972984,-0.5573291050752095,0.20283753889910194,-0.6928516675435281,0.1949961360607581,-0.7099739942996209,zero
10.1038:s41586-023-06047-y_zero_fig19,0.18219697506566795,-0.739458837698882,0.0920960796988944,-1.035758856245866,0.13340398435342213,-0.8748311992285822,zero
10.1038:s41586-023-06047-y_zero_fig2,0.06191881477552005,-1.2081773653319123,0.06344344376232555,-1.1976132511888313,0.07914232419501724,-1.1015911998338366,zero
10.1038:s41586-023-06047-y_zero_fig20,0.2737453541254726,-0.562653242726409,0.17760921999568416,-0.7505344930094743,0.15825846460304668,-0.8006330520399452,zero
10.1038:s41586-023-06047-y_zero_fig21,0.016833851469873137,-1.7738165090538514,0.008927497895875906,-2.0492702434941377,0.017647877840567316,-1.753307511100119,zero
10.1038:s41586-023-06047-y_zero_fig22,0.6003539757638595,-0.22159260896362923,0.31838577553119696,-0.4970463434039198,0.6293850010700701,-0.20108361100989683,zero
10.1038:s41586-023-06047-y_zero_fig3,0.16639808911899653,-0.7788516653640477,0.07849384343819239,-1.105164405237859,0.03894385930807005,-1.4095610124167297,zero
10.1038:s41586-023-06047-y_zero_fig4,0.14727226578584526,-0.8318790315024607,0.08278748121372358,-1.0820353304958887,0.04681723582233075,-1.3295942314456093,zero
10.1038:s41586-023-06047-y_zero_fig5,0.18134242684815433,-0.7415005765419573,0.1063277560099437,-0.973353351577509,0.11555268070196559,-0.9372199748878844,zero
10.1038:s41586-023-06047-y_zero_fig6,0.30439313812171376,-0.516565142011401,0.15256434234341945,-0.8165469587340266,0.1364616462090175,-0.8649893939004627,zero
10.1038:s41586-023-06047-y_zero_fig7,0.15331897406285072,-0.8144040954986498,0.10871294228862614,-0.9637187500264569,0.07398298851355008,-1.1308681295125202,zero
10.1038:s41586-023-06047-y_zero_fig8,0.1423154929835121,-0.8467478184611213,0.08589557266062268,-1.0660292205530784,0.05078223203312852,-1.2942882144830197,zero
10.1038:s41586-023-06047-y_zero_fig9,0.1277727403554204,-0.8935617907472077,0.1035142675233563,-0.984999786635842,0.13456128744938856,-0.8710798663032204,zero
10.1038:s41586-023-06061-0_zero_fig1,0.4336695611575014,-0.3628410594865873,0.0,-inf,0.0,-inf,zero
10.1038:s41586-023-06061-0_zero_fig10,0.5309220927536981,-0.2749692024015638,0.20362657242626955,-0.6911655490018364,0.40252900837224964,-0.39520281660781337,zero
10.1038:s41586-023-06061-0_zero_fig11,0.21383878743823423,-0.6699135168888971,0.2187779310390019,-0.6599964890633573,0.24000284976247466,-0.6197836015018536,zero
10.1038:s41586-023-06061-0_zero_fig2,0.3243355898390508,-0.48900539291614376,0.016081000595592813,-1.793686931979056,0.031788921977367865,-1.4977241995850332,zero
10.1038:s41586-023-06061-0_zero_fig3,0.6850901971974592,-0.16425224665885177,0.8764532019704427,-0.05727126801124977,0.4674206896551728,-0.33029206814360235,zero
10.1038:s41586-023-06061-0_zero_fig4,0.6786673427408754,-0.16834304841964864,0.3062961274381614,-0.513858494028782,0.5804168374419578,-0.2362599975057232,zero
10.1038:s41586-023-06061-0_zero_fig5,0.5335038368127232,-0.2728624529019256,0.34778101048700566,-0.4586941350010911,0.6874935015307129,-0.16273140260706803,zero
10.1038:s41586-023-06061-0_zero_fig6,0.7426341011036854,-0.12922511223196748,0.6179687500000002,-0.20903348615019168,0.0,-inf,zero
10.1038:s41586-023-06061-0_zero_fig7,0.09605234532291465,-1.017492026446589,0.1095104920862098,-0.960544269528398,0.09819094123589849,-1.0079285769048347,zero
10.1038:s41586-023-06061-0_zero_fig8,0.04843792425622584,-1.3148144762511704,0.02305250593830231,-1.637281857431751,0.024422659118191824,-1.6122070522057907,zero
10.1038:s41586-023-06061-0_zero_fig9,0.035952344008922624,-1.4442727893713736,0.04377707411449658,-1.3587532683138157,0.04097806977797921,-1.3874485023651644,zero
10.1038:s41586-023-06068-7_zero_fig1,0.15275777673591157,-0.8159966710525283,0.08101204485670768,-1.0914504054928194,0.16014461027273993,-0.7954876730987959,zero
10.1038:s41586-023-06068-7_zero_fig2,0.0878850890815679,-1.0560848027295564,0.0466081068410702,-1.3315385371698483,0.09213490560342785,-1.0355758047758241,zero
